Fecha|Valor
1969-01-01 00:00:00|240.0
1969-01-02 00:00:00|430.0
1969-01-03 00:00:00|260.0
1969-01-04 00:00:00|250.0
1969-01-05 00:00:00|360.0
1969-01-06 00:00:00|400.0
1969-01-07 00:00:00|320.0
1969-01-08 00:00:00|140.0
1969-01-09 00:00:00|130.0
1969-01-10 00:00:00|260.0
1969-01-11 00:00:00|260.0
1969-01-12 00:00:00|430.0
1969-01-13 00:00:00|440.0
1969-01-14 00:00:00|190.0
1969-01-15 00:00:00|410.0
1969-01-16 00:00:00|280.0
1969-01-17 00:00:00|130.0
1969-01-18 00:00:00|90.0
1969-01-19 00:00:00|150.0
1969-01-20 00:00:00|160.0
1969-01-21 00:00:00|120.0
1969-01-22 00:00:00|40.0
1969-01-23 00:00:00|80.0
1969-01-24 00:00:00|100.0
1969-01-25 00:00:00|220.0
1969-01-26 00:00:00|620.0
1969-01-27 00:00:00|480.0
1969-01-28 00:00:00|190.0
1969-01-29 00:00:00|310.0
1969-01-30 00:00:00|330.0
1969-01-31 00:00:00|240.0
1970-01-01 00:00:00|382.0
1970-01-02 00:00:00|311.0
1970-01-03 00:00:00|461.0
1970-01-04 00:00:00|624.0
1970-01-05 00:00:00|443.0
1970-01-06 00:00:00|495.0
1970-01-07 00:00:00|350.0
1970-01-08 00:00:00|205.0
1970-01-09 00:00:00|170.0
1970-01-10 00:00:00|535.0
1970-01-11 00:00:00|697.0
1970-01-12 00:00:00|632.0
1970-01-13 00:00:00|452.0
1970-01-14 00:00:00|502.0
1970-01-15 00:00:00|590.0
1970-01-16 00:00:00|295.0
1970-01-17 00:00:00|169.0
1970-01-18 00:00:00|148.0
1970-01-19 00:00:00|130.0
1970-01-20 00:00:00|122.0
1970-01-21 00:00:00|204.0
1970-01-22 00:00:00|208.0
1970-01-23 00:00:00|179.0
1970-01-24 00:00:00|174.0
1970-01-25 00:00:00|105.0
1970-01-26 00:00:00|86.0
1970-01-27 00:00:00|54.0
1970-01-28 00:00:00|45.0
1970-01-29 00:00:00|76.0
1970-01-30 00:00:00|98.0
1970-01-31 00:00:00|282.0
1970-02-01 00:00:00|201.0
1970-02-02 00:00:00|181.0
1970-02-03 00:00:00|138.0
1970-02-04 00:00:00|388.0
1970-02-05 00:00:00|536.0
1970-02-06 00:00:00|347.0
1970-02-07 00:00:00|235.0
1970-02-08 00:00:00|333.0
1970-02-09 00:00:00|261.0
1970-02-10 00:00:00|126.0
1970-02-11 00:00:00|76.0
1970-02-12 00:00:00|62.0
1970-02-13 00:00:00|65.0
1970-02-14 00:00:00|53.0
1970-02-15 00:00:00|45.0
1970-02-16 00:00:00|40.0
1970-02-17 00:00:00|109.0
1970-02-18 00:00:00|101.0
1970-02-19 00:00:00|67.0
1970-02-20 00:00:00|311.0
1970-02-21 00:00:00|406.0
1970-02-22 00:00:00|298.0
